"zip5","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
"00971",26849,2972,0.5027,0.021,27048,1981
"00976",33822,1464,0.4853,0.0174,61869,1493
"00979",33503,4365,0.5394,0.0378,17313,1311
"00982",25569,2472,0.4692,0.0267,14151,1168
"00983",28472,2618,0.4775,0.0327,32747,1716
"00985",29693,2272,0.4512,0.0191,32261,1711
"00987",33719,2958,0.476,0.023,54950,2005
"01001",72444,7594,0.4284,0.0318,16088,845
"01002",65013,13710,0.5444,0.0494,27323,764
"01003",NA,NA,0.5023,0.3613,13711,727
"01005",103477,25982,0.3377,0.0543,4947,373
"01007",101076,8471,0.3815,0.0348,15304,67
"01008",79573,11470,0.3648,0.0337,1171,167
"01009",64809,35782,0.4374,0.1297,800,301
"01010",84830,26749,0.4655,0.0562,3703,23
"01011",75640,3725,0.3668,0.0507,1332,265
"01012",68894,6404,0.3615,0.0605,503,116
"01013",52721,5309,0.4664,0.03,22709,1240
"01020",61963,5321,0.4285,0.0276,30704,1342
"01022",50134,9102,0.3247,0.0351,2235,463
"01026",76100,6365,0.4028,0.0453,1071,231
"01027",64330,2991,0.432,0.0395,17708,152
"01028",95284,4729,0.4333,0.0284,16386,38
"01029",88750,36102,0.3402,0.0614,511,152
"01030",86136,13206,0.4272,0.0427,12627,847
"01031",49071,20789,0.4416,0.0609,1577,225
"01032",83750,27923,0.3923,0.0715,430,100
"01033",106821,17009,0.4227,0.0558,6110,23
"01034",91176,13225,0.4057,0.0405,1991,224
"01035",101458,19669,0.3934,0.0497,5293,16
"01036",99400,10203,0.3493,0.0253,4991,20
"01037",85250,36294,0.3826,0.1189,692,201
"01038",90893,13093,0.3882,0.0455,2601,278
"01039",99896,15878,0.4357,0.0873,1675,241
"01040",45045,2869,0.4884,0.018,38480,32
"01050",70800,13753,0.383,0.0329,2593,308
"01053",56094,18752,0.471,0.061,2016,587
"01054",97188,18599,0.4747,0.0433,1794,175
"01056",72563,5382,0.4217,0.0263,21050,36
"01057",72567,10208,0.4408,0.045,8288,155
"01060",70467,6545,0.4826,0.0236,14975,684
"01062",78526,10557,0.4797,0.032,9835,710
"01063",NA,NA,NA,NA,2532,382
"01066",NA,NA,0.434,0.3291,51,43
"01068",85078,7951,0.3605,0.0273,1621,110
"01069",64300,15769,0.4026,0.0239,8870,515
"01070",71000,15251,0.4675,0.0571,621,95
"01071",94286,14475,0.3258,0.0476,1280,266
"01072",79226,13818,0.3453,0.0329,1374,162
"01073",110200,22320,0.4241,0.0625,6158,19
"01074",81681,20433,0.193,0.1349,584,372
"01075",82278,10904,0.4545,0.0383,18051,23
"01077",100337,13904,0.4076,0.0331,9292,22
"01079",65184,59971,0.5035,0.2524,521,186
"01080",80087,14637,0.3237,0.0567,2276,507
"01081",85938,12973,0.3823,0.047,1748,231
"01082",60281,8290,0.4218,0.0341,10441,113
"01083",81078,23768,0.4258,0.0805,2701,560
"01084",78750,15430,0.3535,0.1092,101,56
